pre_common_admincp_cmenu id 
pre_common_magic supplynum 自动补货数量
pre_common_magic useperoid 使用周期
pre_common_magic usenum 周期使用数量
pre_common_magic weight 1 重量
pre_common_magic useevent 0:只在特定环境使用 1:可以在道具中心使用
pre_common_magiclog uid 用户id
pre_common_magiclog magicid 道具id
pre_common_magiclog action 操作动作 1 购买 2 使用 3 赠送
pre_common_magiclog dateline 操作时间
pre_common_magiclog amount 操作数量
pre_common_magiclog credit 操作积分
pre_common_magiclog price 操作价格
pre_common_magiclog targetid 
pre_common_magiclog idtype 
pre_common_magiclog targetuid 道具目标uid
pre_common_mailcron cid 
pre_common_mailcron touid 
pre_common_mailcron email 
pre_common_mailcron sendtime 
pre_common_mailqueue qid 
pre_common_mailqueue cid 
pre_common_mailqueue dateline 
pre_common_member uid 会员id
pre_common_member email 邮箱
pre_common_member username 用户名
pre_common_member password 密码
pre_common_member status 判断用户是否已经删除 需要discuz程序加判断，并增加整体清理的功能。原home字段为flag
pre_common_member emailstatus email是否经过验证 home字段为emailcheck
pre_common_member avatarstatus 是否有头像 home字段为avatar
pre_common_member videophotostatus 视频认证状态 home
pre_common_member adminid 管理员id
pre_common_member groupid 会员组id
pre_common_member groupexpiry 用户组有效期
pre_common_member extgroupids 扩展用户组
pre_common_member regdate 注册时间
pre_common_member credits 总积分
pre_common_member tifysound 短信声音
pre_common_member timeoffset 时区校正
pre_common_member newpm 新短消息数量
pre_common_member newprompt 新提醒数目
pre_common_member accessmasks 标志
pre_common_member allowadmincp 标志
pre_common_member onlyacceptfriendpm 是否只接收好友短消息
pre_common_member conisbind 用户是否绑定QC
pre_common_member_action_log id 记录id
pre_common_member_action_log uid 用户ID
pre_common_member_action_log action 操作代码
pre_common_member_action_log dateline 
pre_common_member_count uid 会员id
pre_common_member_count extcredits1 声望
pre_common_member_count extcredits2 金钱
pre_common_member_count extcredits3 扩展
pre_common_member_count extcredits4 扩展
pre_common_member_count extcredits5 扩展
pre_common_member_count extcredits6 扩展
pre_common_member_count extcredits7 扩展
pre_common_member_count extcredits8 扩展
pre_common_member_count friends 好友个数 home
pre_common_member_count posts 帖子数
pre_common_member_count threads 主题数
pre_common_member_count digestposts 精华数
pre_common_member_count doings 记录数
pre_common_member_count blogs 日志数
pre_common_member_count albums 相册数
pre_common_member_count sharings 分享数
pre_common_member_count attachsize 上传附件占用的空间 home
pre_common_member_count views 空间查看数
pre_common_member_count oltime 在线时间
pre_common_member_count todayattachs 当天上传附件数
pre_common_member_count todayattachsize 当天上传附件容量
pre_common_member_count feeds 广播数
pre_common_member_count follower 听众数量
pre_common_member_count following 收听数量
pre_common_member_count newfollower 新增听众数量
pre_common_member_count blacklist 拉黑用户数
pre_common_member_crime cid 自增id
pre_common_member_crime uid 被惩罚操作的用户id
pre_common_member_crime operatorid 进行惩罚操作的用户id
pre_common_member_crime operator 进行惩罚操作的用户名
pre_common_member_crime action 惩罚行为
pre_common_member_crime dateline 惩罚操作时间
pre_common_member_field_forum uid 会员id
pre_common_member_field_forum publishfeed 用户自定义发送哪些类型的feed(原字段为customaddfeed)
pre_common_member_field_forum customshow 26 自定义帖子显示模式
pre_common_member_field_forum customstatus 自定义头衔
pre_common_member_field_forum authstr 找回密码验证串
pre_common_member_field_forum attentiongroup 用户偏好
pre_common_member_field_home uid 会员id
pre_common_member_field_home videophoto 视频认证照片地址 home
pre_common_member_field_home spacename 空间名称
pre_common_member_field_home spacedescription 空间简介
pre_common_member_field_home domain 空间绑定二级域名 home
pre_common_member_field_home addsize 额外授予的上传空间 home
pre_common_member_field_home addfriend 额外允许增加的好友数 home
pre_common_member_field_home menunum 应用显示个数
pre_common_member_field_home theme 空间风格主题 home
pre_common_member_forum_buylog uid 会员id
pre_common_member_forum_buylog fid 论坛id
pre_common_member_forum_buylog credits 已付金额
pre_common_member_grouppm uid 会员id
pre_common_member_grouppm gpmid 消息id
pre_common_member_grouppm status 0=未读 1=已读 -1=删除
pre_common_member_grouppm dateline 阅读时间
pre_common_member_log uid 
pre_common_member_log action add,update,delete
pre_common_member_log dateline 
pre_common_member_magic uid 用户uid
pre_common_member_magic magicid 道具id
pre_common_member_magic num 拥有数量
pre_common_member_medal uid 
pre_common_member_medal medalid 
pre_common_member_newprompt uid 会员id
pre_common_member_newprompt data array(提醒类型=>数量)
pre_common_member_profile uid 会员id
pre_common_member_profile realname 实名
pre_common_member_profile gender 性别 (0:保密 1:男 2:女)
pre_common_member_profile birthyear 
pre_common_member_profile birthmonth 
pre_common_member_profile birthday 
pre_common_member_profile constellation 星座(根据生日自动计算)
pre_common_member_profile zodiac 生肖(根据生日自动计算)
pre_common_member_profile telephone 固定电话
pre_common_member_profile mobile 手机
pre_common_member_profile idcardtype 证件类型：身份证 护照 军官证等
pre_common_member_profile idcard 证件号码
pre_common_member_profile address 邮寄地址
pre_common_member_profile zipcode 邮编
pre_common_member_profile nationality 国籍
pre_common_member_profile birthprovince 出生省份
pre_common_member_profile birthcity 出生城市
pre_common_member_profile birthdist 出生行政区/县
pre_common_member_profile birthcommunity 出生小区
pre_common_member_profile resideprovince 居住省份
pre_common_member_profile residecity 居住城市
pre_common_member_profile residedist 居住行政区/县
pre_common_member_profile residecommunity 居住小区
pre_common_member_profile residesuite 小区、写字楼门牌号
pre_common_member_profile graduateschool 毕业学校
pre_common_member_profile company 公司
pre_common_member_profile education 学历
pre_common_member_profile occupation 职业
pre_common_member_profile position 职位
pre_common_member_profile revenue 年收入
pre_common_member_profile affectivestatus 情感状态
pre_common_member_profile lookingfor 交友目的（交友类型）
pre_common_member_profile bloodtype 血型
pre_common_member_profile height 身高
pre_common_member_profile weight 体重
pre_common_member_profile alipay 支付宝帐号
pre_common_member_profile icq ICQ
pre_common_member_profile qq QQ
pre_common_member_profile yahoo YAHOO
pre_common_member_profile msn MSN
pre_common_member_profile taobao 阿里旺旺
pre_common_member_profile site 主页
pre_common_member_profile field1 自定义字段1
pre_common_member_profile field2 自定义字段2
pre_common_member_profile field3 自定义字段3
pre_common_member_profile field4 自定义字段4
pre_common_member_profile field5 自定义字段5
pre_common_member_profile field6 自定义字段6
pre_common_member_profile field7 自定义字段7
pre_common_member_profile field8 自定义字段8
pre_common_member_profile_setting fieldid profile字段标志符
pre_common_member_profile_setting available 是否可用
pre_common_member_profile_setting invisible 是否隐藏
pre_common_member_profile_setting needverify 是否需要审核
pre_common_member_profile_setting title 栏目标题
pre_common_member_profile_setting description 解释说明
pre_common_member_profile_setting displayorder 显示顺序
pre_common_member_profile_setting required 是否必填内容
pre_common_member_profile_setting unchangeable 不可修改
pre_common_member_profile_setting showincard 在名片中显示
pre_common_member_profile_setting showinthread 在帖子中显示
pre_common_member_profile_setting showinregister 是否在注册页面显示
pre_common_member_profile_setting allowsearch 是否可搜索
pre_common_member_profile_setting formtype 表单元素类型
pre_common_member_profile_setting size 内容最大长度
pre_common_member_security securityid 审核项id
pre_common_member_security uid 会员id
pre_common_member_security username 用户名
pre_common_member_security fieldid profile字段标志符
pre_common_member_security dateline 提交日期
pre_common_member_stat_field optionid 资料统计项 id
pre_common_member_stat_field fieldid 资料项字段标志符
pre_common_member_stat_field fieldvalue 字段值
pre_common_member_stat_field hash 由fieldid和fieldvalue生成的hash
pre_common_member_stat_field users 对应用户数
pre_common_member_stat_field updatetime 更新时间
pre_common_member_status uid 会员id
pre_common_member_status regip 注册IP
pre_common_member_status lastip 最后登录IP
pre_common_member_status lastvisit 最后访问
pre_common_member_status lastactivity 最后活动
pre_common_member_status lastpost 最后发表
pre_common_member_status lastsendmail 上次发送email时间 home原字段为lastsend
pre_common_member_status invisible 是否隐身登录
pre_common_member_status buyercredit 买家信用等级及积分
pre_common_member_status sellercredit 卖家信用等级及积分
pre_common_member_status favtimes 个人空间收藏次数
pre_common_member_status sharetimes 个人空间分享次数
pre_common_member_status profileprogress 个人资料完成度
pre_common_member_validate uid 会员id
pre_common_member_validate submitdate 提交日期
pre_common_member_validate moddate 审核日期
pre_common_member_validate admin 管理员名
pre_common_member_validate submittimes 提交的次数
pre_common_member_validate status 状态
pre_common_member_verify uid 会员id
pre_common_member_verify verify1 认证1: -1:被拒绝 0:待审核 1:审核通过
pre_common_member_verify verify2 认证2: -1:被拒绝 0:待审核 1:审核通过
pre_common_member_verify verify3 认证3: -1:被拒绝 0:待审核 1:审核通过
pre_common_member_verify verify4 认证4: -1:被拒绝 0:待审核 1:审核通过
pre_common_member_verify verify5 认证5: -1:被拒绝 0:待审核 1:审核通过
pre_common_member_verify verify6 实名认证: -1:被拒绝 0:待审核 1:审核通过
pre_common_member_verify verify7 视频认证: -1:被拒绝 0:待审核 1:审核通过
pre_common_member_verify_info vid 审核id
pre_common_member_verify_info uid 会员id
pre_common_member_verify_info username 用户名
pre_common_member_verify_info verifytype 审核类型0:资料审核, 1:认证1, 2:认证2, 3:认证3, 4:认证4, 5:认证5
pre_common_member_verify_info flag -1:被拒绝 0:待审核 1:审核通过
pre_common_member_verify_info dateline 提交日期
pre_common_myapp appid 应用id
pre_common_myapp appname 应用名称
pre_common_myapp narrow 是否显示为窄的profile box
pre_common_myapp flag 应用状态（黑白名单、默认应用等）
pre_common_myapp version 应用版本号
pre_common_myapp userpanelarea userabout显示区域、1主区、2、副区、3应用区
pre_common_myapp canvastitle canvas页面标题
pre_common_myapp fullscreen 是否是全屏应用
pre_common_myapp displayuserpanel 是否显示应用右侧的用户菜单
pre_common_myapp displaymethod 显示方式（iframe/myml）
pre_common_myapp displayorder 显示顺序
pre_common_myapp appstatus 标识应用1:新、2:热
pre_common_myapp iconstatus 应用图标是否已下载到本地。-1：失败；0：未下载；1：已下载
pre_common_myapp icondowntime 应用图标下载到本地时间
pre_common_myinvite id 邀请id
pre_common_myinvite typename 邀请名称
pre_common_myinvite appid 应用id
pre_common_myinvite type 类型(request 邀请/invite 请求)
pre_common_myinvite fromuid 邀请者id
pre_common_myinvite touid 接收者id
pre_common_myinvite dateline 发送邀请的时间戳
pre_common_myinvite hash hash标记
pre_common_mytask uid 用户Uid
pre_common_mytask username 用户名
pre_common_mytask taskid 任务id
pre_common_mytask status 任务状态 (-1:失败 0:进行中 1:已完成)
pre_common_mytask csc 任务进度
pre_common_mytask dateline 申请任务时间
pre_common_nav id 项目id
pre_common_nav parentid 父 id(navtype=0)
pre_common_nav name 导航名称
pre_common_nav title 导航说明
pre_common_nav url 导航链接
pre_common_nav identifier 链接标识/相关ID
pre_common_nav target 目标框架 (0:本窗口 1:新窗口)
pre_common_nav type 类型 系统 1 自定义 3 插件 4 频道 5 版块
pre_common_nav available 是否可用
pre_common_nav displayorder 显示顺序
pre_common_nav highlight 样式(navtype=0)
pre_common_nav level 使用等级 (0:游客 1:会员 2:版主 3:管理员)
pre_common_nav subtype 二级导航样式(navtype=0) 顶部导航位置(navtype=4)
pre_common_nav subcols 横排一行显示的条目数(navtype=0)
pre_common_nav icon 图标地址(navtype=1、3)
pre_common_nav subname 副导航名称(navtype=1)
pre_common_nav suburl 副导航地址(navtype=1)
pre_common_nav navtype 导航类型 (0:主导航 1:底部导航 2:家园导航 3:快捷导航 4:顶部导航)
pre_common_nav logo 自定义 Logo
pre_common_onlinetime uid 
pre_common_onlinetime thismonth 本月在线时间
pre_common_onlinetime total 总在线时间
pre_common_onlinetime lastupdate 
pre_common_optimizer k 记录键值
pre_common_optimizer v 记录对应数据
pre_common_patch serial 漏洞编号
pre_common_patch status 修补状态
pre_common_patch dateline 漏洞发布时间
pre_common_plugin pluginid 插件id
pre_common_plugin available 是否启用
pre_common_plugin adminid 管理员id
pre_common_plugin name 名称
pre_common_plugin identifier 唯一标识符
pre_common_plugin description 解释说明
pre_common_plugin datatables 插件数据表
pre_common_plugin directory 插件目录
pre_common_plugin copyright 版权信息
pre_common_plugin version 插件版本
pre_common_pluginvar pluginvarid 插件变量id
pre_common_pluginvar pluginid 插件id
pre_common_pluginvar displayorder 显示顺序
pre_common_pluginvar title 名称
pre_common_pluginvar description 解释说明
pre_common_pluginvar variable 变量名
pre_common_pluginvar type 类型
pre_common_process processid 锁名称的md5
pre_common_process expiry 锁的过期时间
pre_common_process extra 锁的附属信息
pre_common_regip ip IP地址
pre_common_regip dateline 限制时间
pre_common_regip count 限制数量
pre_common_relatedlink id id
pre_common_relatedlink name 名称
pre_common_relatedlink url url
pre_common_relatedlink extent 
pre_common_report id 记录id
pre_common_report urlkey 地址md5
pre_common_report url 地址
pre_common_report uid 会员id
pre_common_report username 用户名
pre_common_report dateline 举报时间
pre_common_report num 1 举报次数
pre_common_report opuid 管理员id
pre_common_report opname 管理员姓名
pre_common_report optime 处理时间
pre_common_report opresult 对举报人的奖惩
pre_common_report fid 论坛id
pre_common_searchindex searchid 缓存id
pre_common_searchindex srchmod mod模块
pre_common_searchindex keywords 关键字
pre_common_searchindex useip 搜索人IP
pre_common_searchindex uid 会员id
pre_common_searchindex dateline 搜索时间
pre_common_searchindex expiration 过期时间
pre_common_searchindex threadsortid 分类信息id
pre_common_searchindex num 主题数量
pre_common_secquestion id 验证问题id
pre_common_secquestion type 验证问题类型
pre_common_secquestion answer 问题答案
pre_common_session sid sid
pre_common_session ip1 IP段
pre_common_session ip2 IP段
pre_common_session ip3 IP段
pre_common_session ip4 IP段
pre_common_session uid 会员id
pre_common_session username 会员名
pre_common_session groupid 会员组
